month,forecast_total,lower_ci,upper_ci
2025-01-01,244.9417764898608,122.8065140157331,367.0770389639885
2025-02-01,250.94179161586828,128.80466791132244,373.0789153204141
2025-03-01,262.9417847943379,140.8027998877365,385.08076970093924
2025-04-01,318.94181059752214,196.8009645172266,441.0826566778177
2025-05-01,252.94177975232748,130.79907252669767,375.0844869779573
2025-06-01,339.9418206815215,217.7972523389162,462.0863890241268
2025-07-01,311.941815936107,189.7953865048836,434.0882453673304
2025-08-01,341.9418138599887,219.79352336850332,464.0901043514741
2025-09-01,338.941839663182,216.79168813978947,461.09199118657455
2025-10-01,233.94180081010663,111.78978828316043,356.09381333705284
2025-11-01,321.9418138599897,199.78794035784207,444.09568736213726
2025-12-01,264.9417996237479,142.78606517474984,387.09753407274593
