month,forecast_total,lower_ci,upper_ci
2025-12-01,925.3703008396982,789.8991942114895,1084.0459079470968
2026-01-01,866.8697951808667,740.721836615309,1014.4723026954952
2026-02-01,901.4337715353356,770.2618162367421,1054.9147294250474
2026-03-01,869.5278727876371,742.9935532343775,1017.5824514280914
2026-04-01,876.4092805909021,748.8747239565205,1025.6342111188185
2026-05-01,858.7816696229754,733.8093488838326,1005.0085933072913
2026-06-01,916.7730931929951,783.3715129717347,1072.8628783161728
2026-07-01,843.3564047067588,720.6262010334267,986.9598844226274
2026-08-01,881.4929566894288,753.2194696696482,1031.5824908067746
2026-09-01,869.934525760367,743.3410977516152,1018.0582656965611
2026-10-01,879.2959497420226,751.3418054883598,1029.0118290371931
2026-11-01,924.1487375173156,789.6750811894269,1081.4929315368543
